Категория  | Дата | Изменения
Клей | 45755 | Добавлен в матрицу хранения клей многоцелевой Bonkeel Prof для пола и стен в фасовке 1,3кг
Клей | 45755 | Убрана из прайса грунтовка Homakoll 05 C Prof (концентрат)
  |   | Изменения 07 апреля 2025г
Ковровая плитка | 45754 | Увеличен объём паспортизации на ковровую плитку Bonkeel Space от 1000м2
Подложка | 45754 | Убрана из прайса подложка Bonkeel Wood 220м3
Подложка | 45754 | Добавлена в прайсы подложка Bonkeel Wood 240м3
  |   | Изменения 04 апреля 2025г
Ламинат | 45751 | Повышены цены на ламинат Bonkeel Block
Подложка | 45751 | Скорректированы матрицы хранения по подложке для ковролина Bonkeel Soft
Подложка | 45751 | Добавлена в матрицу хранения Москвы хвойная подложка Белтермо 7мм
  |   | Изменения 01 апреля 2025г
Плитка LVT и SPC | 45748 | Снижена цена Дилер на плитку SPC Bonkeel Base NEW
Плитка LVT и SPC | 45748 | Повышена цена РРЦ на плитку SPC Bonkeel Base NEW и Line NEW
Плитка LVT и SPC | 45748 | Акция: снижены цены Дилер при отгрузке кратно паллете на складской запас плитки SPC Bonkeel Base 111, 112, 210, 211 и Line 301, 302, 303, 402
Плитка LVT и SPC | 45748 | Акция: снижены цены РРЦ на складской запас плитки SPC Bonkeel Base 111, 112, 210, 211 и Line 301, 302, 303, 402
  |   | Изменения 28 марта 2025г
Бытовой ковролин | 45744 | Повышены цены на бытовой ковролин Balsan
Коммерческий ковролин | 45744 | Повышены цены на коммерческий ковролин Balsan
Коммерческий ковролин | 45744 | Убраны из прайса коллекции коммерческого ковролина Balsan First Class, Constellation и Script
Подложка | 45744 | Убрана из прайса хвойная подложка 3мм и 5,5мм
Подложка | 45744 | Добавлена хвойная подложка Белтермо 3мм, 5мм и 7мм
Подложка | 45744 | Добавлена новая подложка Bonkeel Wood
Подложка | 45744 | Убрана из прайса пробковая подложка 5мм
Ковры | 45744 | Добавлена новая категория товара Ковры
Линолеум нарезка Братец лис | 45744 | Убраны новые декоры добавленные в нарезку Братец лис коллекции Bonus, Comfort, Craft, Delta, Gladiator, Idyllia Nova, Sprint Pro и Stimul
Линолеум нарезка Братец лис | 45744 | Убрана добавленная в нарезку Братец лис коллекция Philosophy
  |   | Изменения 21 марта 2025г
Клей | 45737 | Добавлена отметка "выводится" на товары бренда Eurocol 528, 523, 801, 041, остальные товары бренда Eurocol удалены
  |   | Изменения 19 марта 2025г
Ковролин концепты AW | 45735 | Изменены цены РРЦ на ковролин концепты AW
Ковролин концепты AW | 45735 | Снижена цена нарезки на ковролин концепты AW Masquerade коллекции Fedone и Euphoria, Life Story коллекции Victory и Memories, Symphony коллекция Amalie
  |   | Изменения 14 марта 2025г
